full_journey,nb_parcours
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-email_auto-DIRECT_ACCESS,5
REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,5
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,5
SEO-REFERRAL-REFERRAL-REFERRAL,5
email_auto-email_auto-email_auto-REFERRAL-REFERRAL-REFERRAL-REFERRAL,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS-DIRECT_ACCESS,5
email_tactique-email_auto-DIRECT_ACCESS,5
email_tactique-DIRECT_ACCESS,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,5
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,5
SEO-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,5
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,5
DIRECT_ACCESS-SEO-DIRECT_ACCESS,5
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-SEO,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,5
SEO-SEO-SEO-SEO-SEO-AD_EXCHANGE_appnexus-SEO,5
SEA_Google_HM-SEA_Google_M,5
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,5
email_auto-DIRECT_ACCESS-email_auto-email_auto-email_auto,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO-SEO,5
DIRECT_ACCESS-AFFILIATION-AFFILIATION,5
DIRECT_ACCESS-SEO-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,5
REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,5
SEO-SEO-REFERRAL,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,5
DIRECT_ACCESS-SEO-SEO-DIRECT_ACCESS,5
DIRECT_ACCESS-SEO-SEO-SEO-SEO,5
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,5
AFFILIATION-AFFILIATION-AFFILIATION-AFFILIATION,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-REFERRAL,5
AD_EXCHANGE_appnexus-email_auto,5
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,5
REFERRAL-DIRECT_ACCESS,4
AD_EXCHANGE_appnexus-email_auto-email_auto-DIRECT_ACCESS,4
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,4
email_auto-email_auto-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,4
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,4
SEO-SEO-email_tactique,4
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,4
AFFILIATION-AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,4
email_auto-email_auto-email_auto-email_auto-DIRECT_ACCESS,4
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,4
SEO-DIRECT_ACCESS-SEO-SEO-SEO-SEO,4
